iter	Passed	Remaining
1411	9675	24585
1412	9682	24580
1413	9688	24571
1414	9695	24565
1415	9702	24557
1416	9708	24549
1417	9715	24541
1418	9720	24531
1419	9728	24525
1420	9734	24517
1421	9742	24513
1422	9748	24504
1423	9755	24499
1424	9762	24491
1425	9768	24483
1426	9775	24475
1427	9781	24466
1428	9787	24459
1429	9793	24450
1430	9800	24442
1431	9806	24435
1432	9812	24426
1433	9819	24419
1434	9826	24410
1435	9833	24405
1436	9839	24396
1437	9845	24388
1438	9852	24381
1439	9858	24371
1440	9864	24363
1441	9870	24354
1442	9876	24345
1443	9884	24340
1444	9889	24330
1445	9898	24328
1446	9904	24319
1447	9911	24312
1448	9917	24304
1449	9923	24294
1450	9946	24328
1451	9952	24319
1452	9959	24312
1453	9965	24303
1454	9970	24293
1455	9977	24285
1456	9982	24275
1457	9989	24267
1458	9994	24257
1459	10000	24247
1460	10006	24239
1461	10012	24230
1462	10019	24223
1463	10025	24214
1464	10031	24205
1465	10038	24200
1466	10045	24191
1467	10051	24184
1468	10057	24175
1469	10063	24166
1470	10070	24159
1471	10076	24151
1472	10084	24146
1473	10090	24136
1474	10096	24127
1475	10102	24119
1476	10109	24112
1477	10117	24108
1478	10123	24100
1479	10131	24096
1480	10138	24088
1481	10145	24083
1482	10151	24073
1483	10157	24065
1484	10163	24057
1485	10169	24049
1486	10176	24042
1487	10182	24033
1488	10188	24025
1489	10195	24017
1490	10201	24009
1491	10209	24003
1492	10214	23993
1493	10221	23987
1494	10227	23978
1495	10233	23969
1496	10239	23961
1497	10246	23952
1498	10251	23944
1499	10258	23935
1500	10264	23927
1501	10271	23921
1502	10277	23912
1503	10284	23906
1504	10290	23898
1505	10297	23889
1506	10304	23883
1507	10309	23873
1508	10316	23866
1509	10322	23857
1510	10328	23848
1511	10334	23840
1512	10340	23831
1513	10347	23825
1514	10353	23817
1515	10360	23809
1516	10366	23800
1517	10372	23791
1518	10379	23785
1519	10385	23777
